code,name,description,category,url,status
1.1,,,1,,active
1.2,,,1,,active
1.3,,,1,,active
1.4,,,1,,active
1.5,,,1,,active
1.6,,,1,,active
1.7,,,1,,active
1.8,,,1,,active
2.1,,,2,,active
2.2,,,2,,active
3.1,,,3,,active
3.2,,,3,,active
3.3,,,3,,active
3.4,,,3,,active
3.5,,,3,,active
3.6,,,3,,active
3.7,,,3,,active
3.8,,,3,,active
3.9,,,3,,active
3.10,,,3,,active
3.11,,,3,,active
3.12,,,3,,active
4.1,,,4,,active
4.2,,,4,,active
5.1,,,5,,active
5.2,,,5,,active
5.3,,,5,,active
5.4,,,5,,active
6.1,,,6,,active
7.1,,,7,,active
7.2,,,7,,active
